Status Effective,Account Holder,Quantity of Credits,Retirement Reason,Retirement Reason Details,Credit Serial Numbers,Vintage,Date Issued (GMT),Verified Removal,CORSIA Eligible,ARB Eligible,Sustainable Development Goal(s),Project ID,Project Name,Project Site Country,Project Site Location,Project Site State,Project Type,Project Methodology/Protocol,Methodology/Protocol Version
11/15/2022,Arbor Day Foundation,11315,On Behalf of Third Party,Retired on behalf of Ally Financial Inc.,ACR-US-114-2018-1074-145106 to 156420,2018,7/31/2020 21:00,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/15/2022,"Tradewater, LLC",70,Environmental Benefit,Climate Heroes - 22.11.15,ACR-US-758-2022-1631-13445 to 13514,2022,8/17/2022 21:49,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Tradewater US - ODS - #2,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 1.2
11/15/2022,STX Commodities B.V.,5000,Other,"HRP Saugus, LLC LEED Certification",ACR-US-585-2020-1346-1 to 5000,2020,9/15/2021 21:54,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,A-Gas V4,US,"Wood County, Bowling Green, Ohio",OHIO,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",Version 1.1
11/14/2022,Cool Effect,4,Environmental Benefit,Cool Effect October 2022 Platform Sales: TNCCHES-2020-2021,ACR-US-441-2020-1290-16688 to 16691,2020,6/30/2021 21:49,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
11/14/2022,Flow Carbon Inc.,26,On Behalf of Third Party,"Retired on behalf of Institute of Contemporary Art, Miami, relating to the impact of Hugh Hayden: Boogey Men, Nov 30, 2021 – Apr 10, 2022",ACR-US-508-2017-1424-2994 to 3019,2017,1/11/2022 15:46,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Otter Creek IFM,US,Levy County,FLORIDA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
11/14/2022,"Tradewater, LLC",79,Environmental Benefit,Climate Heroes - 22.11.14,ACR-US-758-2022-1631-13366 to 13444,2022,8/17/2022 21:49,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Tradewater US - ODS - #2,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 1.2
11/11/2022,"Tradewater, LLC",48,Environmental Benefit,Climate Heroes - 22.11.11,ACR-US-758-2022-1631-13318 to 13365,2022,8/17/2022 21:49,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Tradewater US - ODS - #2,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 1.2
11/10/2022,551,71,On Behalf of Third Party,ACF Technologies,ACR-US-499-2018-1026-55053 to 55123,2018,6/17/2020 13:09,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Anew - Kootznoowoo Native Community Forestry Project,US,Prince of Wales,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
11/10/2022,"Tradewater, LLC",59,Environmental Benefit,Climate Heroes - 22.11.10,ACR-US-758-2022-1631-13259 to 13317,2022,8/17/2022 21:49,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Tradewater US - ODS - #2,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 1.2
11/9/2022,"Climate Impact Partners, LLC",2000,On Behalf of Third Party,Steelcase,ACR-US-424-2019-1306-1001 to 3000,2019,7/23/2021 4:43,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Albany Water Board - Improved Forest Management Project,US,Albany,NEW YORK,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
11/9/2022,"Climate Impact Partners, LLC",200,On Behalf of Third Party,Retirement for Customer ID 00081071,ACR-US-622-2020-1264-91640 to 91839,2020,5/21/2021 16:52,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Foam Blowing Agent Project 003F,US,Winchester,VIRGINIA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",42,On Behalf of Third Party,Retirement for Customer ID 00080622,ACR-US-114-2017-735-225778 to 225819,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",50,On Behalf of Third Party,Retirement for Customer ID 00079102,ACR-US-135-2009-518-701 to 750,2009,6/2/2016 14:46,,No,No,,ACR119,"Truck Stop Electrification, Florida",US,Florida,FLORIDA,Transport / Fleet Efficiency,Emissions Reductions though Anti-Idling Technologies,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",250,On Behalf of Third Party,Retirement for Customer ID 00079102,ACR-US-132-2009-526-4001 to 4250,2009,6/2/2016 14:46,,No,No,,ACR119,"Truck Stop Electrification, Arkansas",US,Arkansas,ARKANSAS,Transport / Fleet Efficiency,Emissions Reductions though Anti-Idling Technologies,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",300,On Behalf of Third Party,Retirement for Customer ID 00079102,ACR-US-139-2009-503-1 to 300,2009,6/2/2016 14:45,,No,No,,ACR119,"Truck Stop Electrification, Kentucky",US,Kentucky,KENTUCKY,Transport / Fleet Efficiency,Emissions Reductions though Anti-Idling Technologies,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",500,On Behalf of Third Party,Retirement for Customer ID 00079102,ACR-US-146-2009-475-1 to 500,2009,6/2/2016 14:44,,No,No,,ACR119,"Truck Stop Electrification, Nebraska",US,Nebraska,NEBRASKA,Transport / Fleet Efficiency,Emissions Reductions though Anti-Idling Technologies,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",700,On Behalf of Third Party,Retirement for Customer ID 00079102,ACR-US-135-2009-518-1 to 700,2009,6/2/2016 14:46,,No,No,,ACR119,"Truck Stop Electrification, Florida",US,Florida,FLORIDA,Transport / Fleet Efficiency,Emissions Reductions though Anti-Idling Technologies,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",1200,On Behalf of Third Party,Retirement for Customer ID 00079102,ACR-US-139-2008-504-101 to 1300,2008,6/2/2016 14:45,,No,No,,ACR119,"Truck Stop Electrification, Kentucky",US,Kentucky,KENTUCKY,Transport / Fleet Efficiency,Emissions Reductions though Anti-Idling Technologies,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",317,On Behalf of Third Party,Retirement for Customer ID 00079102,ACR-US-126-2012-333-35753 to 36069,2012,7/3/2014 22:05,,No,No,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",ACR119,Seneca Meadows LFG,US,Waterloo,NEW YORK,Landfill Gas Capture & Combustion,Offset Project Methodology for Landfill Methane Collection and Combustion,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",400,On Behalf of Third Party,Retirement for Customer ID 00081034,ACR-US-114-2017-735-225378 to 225777,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",1250,On Behalf of Third Party,Retirement for Customer ID 00081034,ACR-US-598-2019-1274-355861 to 357110,2019,6/8/2021 20:32,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Advanced Refrigeration US49 - ARS 004,US,Missouri,MISSOURI,Industrial Process Emissions,Advanced Refrigeration Systems,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",500,On Behalf of Third Party,Retirement for Customer ID 00079139,ACR-US-222-2016-1374-8214 to 8713,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",498,On Behalf of Third Party,Retirement for Customer ID 00080122,ACR-US-222-2016-1374-7716 to 8213,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",10000,On Behalf of Third Party,Retirement for Customer ID 00080122,ACR-US-369-2015-684-81423 to 91422,2015,10/19/2017 20:54,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Foam Blowing Agent Project 002,US,Rockford,MINNESOTA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",200,On Behalf of Third Party,Retirement for Customer ID 00080094,ACR-US-222-2016-1374-7516 to 7715,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",659,On Behalf of Third Party,Retirement for Customer ID 00079137,ACR-US-114-2017-735-224719 to 225377,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",194,On Behalf of Third Party,Retirement for Customer ID 00079570,ACR-US-114-2017-735-224525 to 224718,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",1501,On Behalf of Third Party,Retirement for Customer ID 00080612,ACR-US-114-2017-735-223024 to 224524,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",1000,On Behalf of Third Party,Retirement for Customer ID 00081212,ACR-US-598-2019-1274-354861 to 355860,2019,6/8/2021 20:32,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Advanced Refrigeration US49 - ARS 004,US,Missouri,MISSOURI,Industrial Process Emissions,Advanced Refrigeration Systems,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",600,On Behalf of Third Party,Retirement for Customer ID 00080463,ACR-US-222-2016-1374-6916 to 7515,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",1000,On Behalf of Third Party,Retirement for Customer ID 00080109,ACR-US-222-2016-1374-5916 to 6915,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",236,On Behalf of Third Party,Retirement for Customer ID 00080878,ACR-US-114-2017-735-222788 to 223023,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",2000,On Behalf of Third Party,Retirement for Customer ID 00079920,ACR-US-369-2015-684-79423 to 81422,2015,10/19/2017 20:54,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Foam Blowing Agent Project 002,US,Rockford,MINNESOTA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",111,On Behalf of Third Party,Retirement for Customer ID 00081367,ACR-US-114-2017-735-222677 to 222787,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",71,On Behalf of Third Party,Retirement for Customer ID 00080322,ACR-US-114-2017-735-222606 to 222676,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",1800,On Behalf of Third Party,Retirement for Customer ID 00079432,ACR-US-222-2016-1374-4116 to 5915,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",1800,On Behalf of Third Party,Retirement for Customer ID 00079432,ACR-US-114-2017-735-220806 to 222605,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",101,On Behalf of Third Party,Retirement for Customer ID 00081194,ACR-US-114-2017-735-220705 to 220805,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",100,On Behalf of Third Party,Retirement for Customer ID 00081194,ACR-US-424-2020-1305-31 to 130,2020,7/23/2021 4:43,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Albany Water Board - Improved Forest Management Project,US,Albany,NEW YORK,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
11/9/2022,"Climate Impact Partners, LLC",268,On Behalf of Third Party,Retirement for Customer ID 00081143,ACR-US-114-2017-735-220437 to 220704,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",10,On Behalf of Third Party,Retirement for Customer ID 00081190,ACR-US-114-2017-735-220427 to 220436,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",65,On Behalf of Third Party,Retirement for Customer ID 00080336,ACR-US-222-2016-1374-4051 to 4115,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",650,On Behalf of Third Party,Retirement for Customer ID 00079442,ACR-US-126-2012-333-35103 to 35752,2012,7/3/2014 22:05,,No,No,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",ACR119,Seneca Meadows LFG,US,Waterloo,NEW YORK,Landfill Gas Capture & Combustion,Offset Project Methodology for Landfill Methane Collection and Combustion,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",50,On Behalf of Third Party,Retirement for Customer ID 00080400,ACR-US-222-2015-1375-17056 to 17105,2015,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",482,On Behalf of Third Party,Retirement for Customer ID 00080400,ACR-US-222-2015-1375-17106 to 17587,2015,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",300,On Behalf of Third Party,Retirement for Customer ID 00081093,ACR-US-114-2017-735-220127 to 220426,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",596,On Behalf of Third Party,Retirement for Customer ID 00079548,ACR-US-222-2016-1374-3455 to 4050,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",793,On Behalf of Third Party,Retirement for Customer ID 00079782,ACR-US-126-2014-590-59948 to 60740,2014,11/22/2016 21:26,,No,No,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",ACR119,Seneca Meadows LFG,US,Waterloo,NEW YORK,Landfill Gas Capture & Combustion,Offset Project Methodology for Landfill Methane Collection and Combustion,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",1049,On Behalf of Third Party,Retirement for Customer ID 00080952,ACR-US-114-2017-735-219078 to 220126,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",895,On Behalf of Third Party,Retirement for Customer ID 00078679,ACR-US-222-2016-1374-2560 to 3454,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",30,On Behalf of Third Party,Retirement for Customer ID 00079261,ACR-US-222-2016-1374-2530 to 2559,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",8636,On Behalf of Third Party,Retirement for Customer ID 00079447,ACR-US-126-2012-312-237358 to 245993,2012,1/24/2013 5:38,,No,No,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",ACR119,Seneca Meadows LFG,US,Waterloo,NEW YORK,Landfill Gas Capture & Combustion,Offset Project Methodology for Landfill Methane Collection and Combustion,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",364,On Behalf of Third Party,Retirement for Customer ID 00079447,ACR-US-126-2012-333-34739 to 35102,2012,7/3/2014 22:05,,No,No,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",ACR119,Seneca Meadows LFG,US,Waterloo,NEW YORK,Landfill Gas Capture & Combustion,Offset Project Methodology for Landfill Methane Collection and Combustion,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",6000,On Behalf of Third Party,Retirement for Customer ID 00079447,ACR-US-552-2019-1148-91001 to 97000,2019,11/18/2020 0:21,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Foam Blowing Agent Project 002E,US,Rockford,MINNESOTA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",250,On Behalf of Third Party,Retirement for Customer ID 00079551,ACR-US-369-2015-684-79173 to 79422,2015,10/19/2017 20:54,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Foam Blowing Agent Project 002,US,Rockford,MINNESOTA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",300,On Behalf of Third Party,Retirement for Customer ID 00081150,ACR-US-622-2020-1264-81340 to 81639,2020,5/21/2021 16:52,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR119,Foam Blowing Agent Project 003F,US,Winchester,VIRGINIA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",178,On Behalf of Third Party,Retirement for Customer ID 00080853,ACR-US-114-2017-735-218900 to 219077,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",63,On Behalf of Third Party,Retirement for Customer ID 00080582,ACR-US-114-2017-735-218837 to 218899,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",162,On Behalf of Third Party,Retirement for Customer ID 00078742,ACR-US-222-2016-1374-2368 to 2529,2016,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
11/9/2022,"Climate Impact Partners, LLC",10000,On Behalf of Third Party,Retirement for Customer ID 00080165,ACR-US-126-2014-590-49948 to 59947,2014,11/22/2016 21:26,,No,No,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",ACR119,Seneca Meadows LFG,US,Waterloo,NEW YORK,Landfill Gas Capture & Combustion,Offset Project Methodology for Landfill Methane Collection and Combustion,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",30,On Behalf of Third Party,Retirement for Customer ID 00081222,ACR-US-424-2020-1305-1 to 30,2020,7/23/2021 4:43,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,Albany Water Board - Improved Forest Management Project,US,Albany,NEW YORK,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
11/9/2022,"Climate Impact Partners, LLC",45,On Behalf of Third Party,Retirement for Customer ID 00080495,ACR-US-114-2017-735-218792 to 218836,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",64,On Behalf of Third Party,Retirement for Customer ID 00079144,ACR-US-114-2017-735-218728 to 218791,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",15414,On Behalf of Third Party,Retirement for Customer ID 00079144,ACR-US-114-2016-736-122788 to 138201,2016,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
11/9/2022,"Climate Impact Partners, LLC",1000,On Behalf of Third Party,Retirement for Customer ID 00080297,ACR-US-114-2017-735-217728 to 218727,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR119,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
